Datetime,Water Level (m)
2023-02-10 06:00:00,-1.168705
2023-02-10 07:00:00,-0.6812896
2023-02-10 08:00:00,-0.19435461
2023-02-10 09:00:00,0.25146222
2023-02-10 10:00:00,0.613095
2023-02-10 11:00:00,0.84159255
2023-02-10 12:00:00,0.79862404
2023-02-10 13:00:00,0.48964024
2023-02-10 14:00:00,0.059559368
2023-02-10 15:00:00,-0.44592103
2023-02-10 16:00:00,-0.929275
2023-02-10 17:00:00,-1.312484
2023-02-10 18:00:00,-1.1547519
2023-02-10 19:00:00,-0.6438954
2023-02-10 20:00:00,-0.14020702
2023-02-10 21:00:00,0.3049372
2023-02-10 22:00:00,0.6856653
2023-02-10 23:00:00,0.918651
2023-02-11 00:00:00,0.8696438
2023-02-11 01:00:00,0.54189295
2023-02-11 02:00:00,0.09150046
2023-02-11 03:00:00,-0.43659192
2023-02-11 04:00:00,-0.9643522
2023-02-11 05:00:00,-1.3981415
2023-02-11 06:00:00,-1.5006691
2023-02-11 07:00:00,-1.0126967
2023-02-11 08:00:00,-0.50356
2023-02-11 09:00:00,0.011940045
2023-02-11 10:00:00,0.40041178
2023-02-11 11:00:00,0.7376844
2023-02-11 12:00:00,0.8634669
2023-02-11 13:00:00,0.70174325
2023-02-11 14:00:00,0.32888946
2023-02-11 15:00:00,-0.1339609
2023-02-11 16:00:00,-0.6388002
2023-02-11 17:00:00,-1.0880926
2023-02-11 18:00:00,-1.3077911
2023-02-11 19:00:00,-0.9427346
2023-02-11 20:00:00,-0.4877818
2023-02-11 21:00:00,-0.02061042
2023-02-11 22:00:00,0.36869064
2023-02-11 23:00:00,0.70017976
2023-02-12 00:00:00,0.83384323
2023-02-12 01:00:00,0.6745396
2023-02-12 02:00:00,0.2987146
2023-02-12 03:00:00,-0.16999315
2023-02-12 04:00:00,-0.6916179
2023-02-12 05:00:00,-1.1499778
2023-02-12 06:00:00,-1.4631507
2023-02-12 07:00:00,-1.295414
2023-02-12 08:00:00,-0.82306385
2023-02-12 09:00:00,-0.3413179
2023-02-12 10:00:00,0.12332277
2023-02-12 11:00:00,0.48855934
2023-02-12 12:00:00,0.77645576
2023-02-12 13:00:00,0.82873493
2023-02-12 14:00:00,0.6173064
2023-02-12 15:00:00,0.22451946
2023-02-12 16:00:00,-0.23738894
2023-02-12 17:00:00,-0.6997601
2023-02-12 18:00:00,-1.0949109
2023-02-12 19:00:00,-1.1791188
2023-02-12 20:00:00,-0.8063566
2023-02-12 21:00:00,-0.41761377
2023-02-12 22:00:00,0.0033624854
2023-02-12 23:00:00,0.33351216
2023-02-13 00:00:00,0.59984773
2023-02-13 01:00:00,0.65217286
2023-02-13 02:00:00,0.43523178
2023-02-13 03:00:00,0.060349233
2023-02-13 04:00:00,-0.3983241
2023-02-13 05:00:00,-0.8650343
2023-02-13 06:00:00,-1.2870933
2023-02-13 07:00:00,-1.498415
2023-02-13 08:00:00,-1.2285776
2023-02-13 09:00:00,-0.7914903
2023-02-13 10:00:00,-0.33587125
2023-02-13 11:00:00,0.10516584
2023-02-13 12:00:00,0.4539912
2023-02-13 13:00:00,0.720647
2023-02-13 14:00:00,0.7600465
2023-02-13 15:00:00,0.5533666
2023-02-13 16:00:00,0.17344385
2023-02-13 17:00:00,-0.26307282
2023-02-13 18:00:00,-0.69992614
2023-02-13 19:00:00,-1.0677949
2023-02-13 20:00:00,-1.1744931
2023-02-13 21:00:00,-0.91075224
2023-02-13 22:00:00,-0.58980834
2023-02-13 23:00:00,-0.22532602
2023-02-14 00:00:00,0.08513183
2023-02-14 01:00:00,0.3017721
2023-02-14 02:00:00,0.36083943
2023-02-14 03:00:00,0.19448484
2023-02-14 04:00:00,-0.12525311
2023-02-14 05:00:00,-0.5327669
2023-02-14 06:00:00,-0.9499493
2023-02-14 07:00:00,-1.2963246
2023-02-14 08:00:00,-1.4392282
2023-02-14 09:00:00,-1.1893395
2023-02-14 10:00:00,-0.7905952
2023-02-14 11:00:00,-0.35783717
2023-02-14 12:00:00,0.07046549
2023-02-14 13:00:00,0.41736612
2023-02-14 14:00:00,0.6902357
2023-02-14 15:00:00,0.7638303
2023-02-14 16:00:00,0.6119985
2023-02-14 17:00:00,0.26953036
2023-02-14 18:00:00,-0.12032088
2023-02-14 19:00:00,-0.5467398
2023-02-14 20:00:00,-0.89645785
2023-02-14 21:00:00,-1.1113417
2023-02-14 22:00:00,-0.9998001
2023-02-14 23:00:00,-0.7431549
2023-02-15 00:00:00,-0.42616624
2023-02-15 01:00:00,-0.106206596
2023-02-15 02:00:00,0.13069598
2023-02-15 03:00:00,0.26071253
2023-02-15 04:00:00,0.21347205
2023-02-15 05:00:00,-0.016520118
2023-02-15 06:00:00,-0.35922027
2023-02-15 07:00:00,-0.7465006
2023-02-15 08:00:00,-1.1198756
2023-02-15 09:00:00,-1.3304816
2023-02-15 10:00:00,-1.2329293
2023-02-15 11:00:00,-0.8912533
2023-02-15 12:00:00,-0.47210184
2023-02-15 13:00:00,-0.008975148
2023-02-15 14:00:00,0.36265263
2023-02-15 15:00:00,0.69304156
2023-02-15 16:00:00,0.85728014
2023-02-15 17:00:00,0.79510885
2023-02-15 18:00:00,0.5072547
2023-02-15 19:00:00,0.10961308
